Mineral_Commodity,Pch_Critical_Minerals_2022_2023,Pch_Other_Minerals_2022_2023
Yttrium,-80,
Tantalum,-65,
Strontium,,-64
Asbestos,,-48
Iron oxide pigments,,-48
Abrasives (aluminum oxide),,-48
Bismuth,-46,
Diamond (stones),,-44
Arsenic,-40,
Garnet (industrial),,-35
Chromium,-34,
Talc and pyrophyllite,,-30
Alumina,,-27
Fluorspar,-26,
Abrasives (silicon carbide),,-22
Rhenium,,-22
Peat,,-20
Titanium mineral concentrates,,-20
Gemstones,,-20
Beryllium,-20,
Feldspar,,-17
Bauxite,-17,
Aluminum,,-16
Titanium dioxide,,-15
Manganese,-14,
Rare earths,-14,
Soda ash,,-14
Antimony,-12,
Mica,,-12
Perlite,,-10
Iodine,,-10
Cobalt,-10,
Nickel,-10,
Tin,-6,
Graphite (natural),-5,
Iron and steel,,-4
Sand and gravel (construction),,-4
Gallium,-4,
Salt,,-4
Magnesium compounds,,0
Gold,,-3
Lead,,-2
Sulfur,,-1
"Diamond (bort, grit, dust, and powder)",,-1
Pumice and pumicite,,-1
Zinc,-1,
Niobium (columbium),0,
Cement,,0
Copper,,0
Iron and steel slag,,0
Lime,,0
Stone (crushed),,0
Thallium,,0
Diatomite,,0
Nitrogen (fixed)--ammonia,,1
Gypsum,,3
Titanium metal,3,
Clays,,4
Potash,,4
Iron and steel scrap,,4
Silver,,6
Zeolites (natural),,7
Phosphate rock,,8
Abrasives (metalic),,8
Vermiculite,,8
Helium,,9
Magnesium metal,10,
Palladium,11,
Sand and gravel (industrial),,11
Stone (dimension),,12
Molybdenum,,13
Vanadium,27,
Platinum,32,
Indium,49,
