Source,Country,Type,Prod_kt_2022,Prod_kt_est_2023,Prod_notes,Reserves_kt,Reserves_notes
MCS2024,United States,"Mine production, recoverable copper content",1230.0,1100.0,,50000.0,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Australia,"Mine production, recoverable copper content",819.0,810.0,,100000.0,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 27 million tons. World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Canada,"Mine production, recoverable copper content",520.0,480.0,,7600.0,
MCS2024,Chile,"Mine production, recoverable copper content",5330.0,5000.0,,190000.0,
MCS2024,China,"Mine production, recoverable copper content",1940.0,1700.0,,41000.0,
MCS2024,Congo (Kinshasa),"Mine production, recoverable copper content",2350.0,2500.0,,80000.0,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Germany,"Mine production, recoverable copper content",0.0,0.0,,0.0,
MCS2024,Indonesia,"Mine production, recoverable copper content",941.0,840.0,,24000.0,
MCS2024,Japan,"Mine production, recoverable copper content",0.0,0.0,,0.0,
MCS2024,Kazakhstan,"Mine production, recoverable copper content",593.0,600.0,,20000.0,
MCS2024,"Korea, Republic of","Mine production, recoverable copper content",0.0,0.0,,0.0,
MCS2024,Mexico,"Mine production, recoverable copper content",754.0,750.0,,53000.0,
MCS2024,Peru,"Mine production, recoverable copper content",2450.0,2600.0,,120000.0,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Poland,"Mine production, recoverable copper content",393.0,400.0,,34000.0,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Russia,"Mine production, recoverable copper content",936.0,910.0,Also estimated in 2022,80000.0,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Zambia,"Mine production, recoverable copper content",797.0,760.0,,21000.0,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Other countries,"Mine production, recoverable copper content",2850.0,3100.0,,180000.0,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,World total (rounded),"Mine production, recoverable copper content",21900.0,22000.0,,1000000.0,
MCS2024,United States,"Refinery production, copper",952.0,890.0,,,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Australia,"Refinery production, copper",401.0,450.0,,,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Canada,"Refinery production, copper",278.0,310.0,,,
MCS2024,Chile,"Refinery production, copper",2150.0,2000.0,,,
MCS2024,China,"Refinery production, copper",11100.0,12000.0,,,
MCS2024,Congo (Kinshasa),"Refinery production, copper",1770.0,1900.0,,,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Germany,"Refinery production, copper",609.0,610.0,,,
MCS2024,Indonesia,"Refinery production, copper",310.0,200.0,,,
MCS2024,Japan,"Refinery production, copper",1550.0,1500.0,,,
MCS2024,Kazakhstan,"Refinery production, copper",494.0,440.0,,,
MCS2024,"Korea, Republic of","Refinery production, copper",638.0,620.0,,,
MCS2024,Mexico,"Refinery production, copper",486.0,480.0,,,
MCS2024,Peru,"Refinery production, copper",391.0,400.0,,,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Poland,"Refinery production, copper",586.0,590.0,,,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Russia,"Refinery production, copper",1010.0,1000.0,Also estimated in 2022,,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Zambia,"Refinery production, copper",349.0,380.0,,,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Other countries,"Refinery production, copper",2830.0,2900.0,,,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,World total (rounded),"Refinery production, copper",25900.0,27000.0,,,
,,,,,,,
